team,league,treated,guests_total,guests_women,empathy_sunni_t0,isis_abuse_violent,friends_t0,friends_t0_new,edu,church,income,status1,marital,isis_abuse,player_type,birth.year,attend,train_t0,train_t1,type
c1,league3_wave1,0,NA,NA,NA,0,NA,0,3,5,0,1,0,1,Original,26,1,0,0,control
c1,league3_wave1,0,NA,NA,NA,1,NA,1,3,3,1,2,0,0,Original,25,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,1,NA,1,3,5,4,2,0,0,Extra,20,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,1,Extra,18,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,0,NA,0,4,1,0,1,0,1,Extra,26,1,0,0,control
c1,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,1,1,0,0,Extra,21,1,0,0,control
c1,league3_wave1,0,NA,NA,NA,1,NA,1,4,3,1,1,0,0,Original,27,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,1,NA,1,3,3,0,1,0,0,Original,25,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,0,NA,1,2,1,3,2,0,1,Original,21,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,1,NA,0,3,2,1,1,0,0,Original,21,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,1,NA,1,2,5,1,2,0,0,Original,25,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,0,NA,0,3,1,1,1,0,0,Original,17,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,0,NA,0,3,1,0,1,0,1,Original,20,0,0,0,control
c1,league3_wave1,0,NA,NA,NA,0,NA,0,2,1,1,1,0,1,Original,19,1,0,0,control
c2,league3_wave1,0,NA,NA,NA,0,NA,1,4,1,1,1,0,1,Original,18,0,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,1,4,3,1,1,0,1,Original,18,1,0,1,control
c2,league3_wave1,0,NA,NA,NA,1,NA,1,6,1,0,1,0,0,Extra,26,0,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,1,3,1,1,1,0,0,Extra,20,0,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,1,3,1,1,1,0,1,Extra,19,1,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,1,4,2,4,1,1,1,Extra,25,1,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,1,4,1,1,1,0,1,Original,18,0,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,0,3,3,0,1,0,0,Original,18,1,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,1,3,3,0,1,0,1,Original,19,0,0,1,control
c2,league3_wave1,0,NA,NA,NA,1,NA,1,3,5,1,2,0,0,Original,20,0,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,0,Original,20,1,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,0,Original,17,0,0,1,control
c2,league3_wave1,0,NA,NA,NA,1,NA,1,4,1,1,1,0,0,Original,17,0,0,1,control
c2,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,0,Original,18,1,0,1,control
c3,league3_wave1,0,NA,NA,NA,1,NA,1,6,2,3,2,1,0,Original,30,1,0,0,control
c3,league3_wave1,0,NA,NA,NA,0,NA,1,6,1,0,2,1,0,Original,28,0,0,0,control
c3,league3_wave1,0,NA,NA,NA,0,NA,1,4,1,4,2,0,0,Extra,23,1,0,0,control
c3,league3_wave1,0,NA,NA,NA,0,NA,1,6,5,0,1,0,1,Extra,23,1,0,0,control
c3,league3_wave1,0,NA,NA,NA,0,NA,0,2,1,0,0,0,1,Extra,23,0,0,0,control
c3,league3_wave1,0,NA,NA,NA,1,NA,1,3,2,0,1,0,0,Extra,23,1,0,0,control
c3,league3_wave1,0,NA,NA,NA,0,NA,0,6,5,1,1,0,1,Original,22,0,0,0,control
c3,league3_wave1,0,NA,NA,NA,1,NA,1,4,5,0,1,0,0,Original,23,0,0,0,control
c3,league3_wave1,0,NA,NA,NA,1,NA,1,6,3,4,2,1,0,Original,30,1,0,0,control
c3,league3_wave1,0,NA,NA,NA,1,NA,1,3,3,0,1,0,0,Original,23,1,0,0,control
c3,league3_wave1,0,NA,NA,NA,0,NA,1,3,1,0,1,0,1,Original,25,0,0,0,control
c3,league3_wave1,0,NA,NA,NA,1,NA,1,6,3,0,2,0,0,Original,27,0,0,0,control
c3,league3_wave1,0,NA,NA,NA,1,NA,0,3,3,0,2,0,0,Original,28,0,0,0,control
c3,league3_wave1,0,1,1,NA,0,NA,1,6,3,4,2,1,0,Original,30,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,1,NA,0,6,1,0,2,0,0,Original,31,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,1,NA,1,6,4,1,1,0,0,Original,22,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,1,NA,1,3,3,1,1,0,0,Extra,25,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,0,NA,1,6,5,1,0,1,1,Extra,34,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,1,NA,1,6,3,1,2,0,0,Extra,25,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,1,NA,1,6,3,1,2,1,0,Extra,40,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,0,NA,0,4,1,0,0,0,0,Original,32,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,0,NA,1,2,2,2,2,0,1,Original,32,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,1,NA,1,3,1,1,0,0,0,Original,33,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,0,NA,1,6,2,4,1,1,0,Original,27,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,0,NA,1,4,1,1,1,0,0,Original,25,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,1,NA,0,6,1,1,2,1,0,Original,29,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,0,NA,0,3,1,1,2,0,1,Original,27,1,0,0,control
c4,league3_wave1,0,NA,NA,NA,0,NA,0,2,1,1,1,0,1,Original,19,1,0,0,control
c5,league3_wave1,0,NA,NA,NA,0,NA,0,4,5,0,2,0,1,Original,25,1,0,1,control
c5,league3_wave1,0,1,1,NA,0,NA,1,6,3,0,1,0,0,Original,24,1,0,1,control
c5,league3_wave1,0,NA,NA,NA,1,NA,0,3,3,1,1,0,0,Extra,19,1,0,1,control
c5,league3_wave1,0,NA,NA,NA,1,NA,1,4,1,1,1,0,0,Extra,17,1,0,1,control
c5,league3_wave1,0,NA,NA,NA,1,NA,0,6,1,1,1,0,0,Extra,26,1,0,1,control
c5,league3_wave1,0,NA,NA,NA,0,NA,0,3,2,2,2,0,0,Extra,22,0,0,1,control
c5,league3_wave1,0,NA,NA,NA,0,NA,1,3,3,0,1,0,1,Original,21,0,0,1,control
c5,league3_wave1,0,NA,NA,NA,1,NA,1,2,1,1,0,0,0,Original,24,0,0,1,control
c5,league3_wave1,0,NA,NA,NA,1,NA,1,4,1,0,1,0,0,Original,19,1,0,1,control
c5,league3_wave1,0,NA,NA,NA,1,NA,1,3,3,0,1,0,0,Original,18,0,0,1,control
c5,league3_wave1,0,NA,NA,NA,0,NA,1,3,5,0,2,0,1,Original,19,0,0,1,control
c5,league3_wave1,0,NA,NA,NA,0,NA,1,5,3,0,2,0,0,Original,22,1,0,1,control
c5,league3_wave1,0,NA,NA,NA,1,NA,1,6,1,0,2,1,0,Original,28,1,0,1,control
c5,league3_wave1,0,NA,NA,NA,0,NA,1,4,3,1,1,0,1,Original,19,0,0,1,control
c6,league3_wave1,0,NA,NA,NA,0,NA,0,3,3,0,0,0,1,Original,25,1,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,1,4,3,1,1,0,1,Original,19,1,0,0,control
c6,league3_wave1,0,NA,NA,NA,1,NA,1,3,5,0,1,0,0,Extra,21,1,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,1,2,3,0,2,0,1,Extra,23,1,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,1,2,5,3,2,1,1,Extra,30,0,0,0,control
c6,league3_wave1,0,NA,NA,NA,1,NA,1,2,2,1,1,0,0,Extra,18,1,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,0,4,3,0,1,0,1,Original,23,0,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,0,4,1,0,1,0,1,Original,20,1,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,0,3,1,1,1,0,0,Original,18,1,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,0,3,4,0,1,0,1,Original,18,0,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,0,6,3,1,1,0,1,Original,28,1,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,0,3,4,0,1,0,1,Original,21,0,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,0,2,1,0,2,1,1,Original,29,0,0,0,control
c6,league3_wave1,0,NA,NA,NA,0,NA,1,3,3,3,1,0,1,Original,19,1,0,0,control
c7,league3_wave1,0,NA,NA,NA,1,NA,0,2,3,0,1,0,0,Original,27,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,1,NA,1,3,5,0,1,0,0,Original,19,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,0,NA,1,3,3,1,1,0,1,Extra,20,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,1,NA,0,3,5,0,1,0,0,Extra,18,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,0,NA,0,4,1,4,1,0,1,Extra,27,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,0,NA,1,4,1,1,1,0,1,Extra,21,1,0,0,control
c7,league3_wave1,0,NA,NA,NA,1,NA,0,3,3,0,0,0,0,Original,22,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,0,NA,0,3,3,1,2,0,1,Original,23,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,1,NA,1,2,5,0,0,0,0,Original,26,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,1,NA,0,2,1,1,1,0,0,Original,18,1,0,0,control
c7,league3_wave1,0,NA,NA,NA,0,NA,1,2,5,0,0,0,1,Original,17,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,0,NA,0,3,1,0,1,0,1,Original,19,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,1,NA,1,3,1,1,1,0,0,Original,21,0,0,0,control
c7,league3_wave1,0,NA,NA,NA,0,NA,1,2,1,0,2,0,1,Original,25,1,0,0,control
m1,league3_wave1,1,NA,NA,NA,0,NA,1,4,1,0,1,0,1,Original,23,1,0,1,treated
m1,league3_wave1,1,NA,NA,NA,1,NA,0,3,2,1,1,0,0,Original,19,1,0,1,treated
m1,league3_wave1,1,NA,NA,NA,1,NA,1,4,2,4,2,0,0,Original,26,0,0,1,treated
m1,league3_wave1,1,NA,NA,NA,0,NA,1,3,1,0,1,0,1,Original,21,1,0,1,treated
m1,league3_wave1,1,NA,NA,NA,1,NA,0,3,1,0,1,0,0,Original,20,0,0,1,treated
m1,league3_wave1,1,NA,NA,NA,0,NA,0,3,1,0,1,0,0,Original,19,1,0,1,treated
m1,league3_wave1,1,NA,NA,NA,0,NA,1,3,1,0,1,0,1,Original,19,0,0,1,treated
m1,league3_wave1,1,NA,NA,NA,0,NA,1,2,1,1,1,0,1,Original,19,1,0,1,treated
m1,league3_wave1,1,NA,NA,NA,0,NA,0,4,3,1,1,0,1,Original,20,0,0,1,treated
m1,league3_wave1,1,NA,NA,NA,0,NA,0,3,3,1,1,0,1,Original,18,1,0,1,treated
m2,league3_wave1,1,NA,NA,NA,1,NA,1,4,1,1,1,0,0,Original,19,1,0,0,treated
m2,league3_wave1,1,NA,NA,NA,1,NA,0,3,1,0,1,0,0,Original,19,1,0,0,treated
m2,league3_wave1,1,NA,NA,NA,1,NA,1,3,2,1,1,0,0,Original,18,1,0,0,treated
m2,league3_wave1,1,NA,NA,NA,0,NA,0,4,1,3,2,0,1,Original,22,0,0,0,treated
m2,league3_wave1,1,NA,NA,NA,0,NA,0,3,1,1,1,0,1,Original,16,0,0,0,treated
m2,league3_wave1,1,NA,NA,NA,1,NA,0,6,1,4,1,0,0,Original,27,0,0,0,treated
m2,league3_wave1,1,NA,NA,NA,1,NA,0,3,1,0,1,0,0,Original,17,0,0,0,treated
m2,league3_wave1,1,NA,NA,NA,1,NA,0,4,1,1,0,0,0,Original,19,0,0,0,treated
m2,league3_wave1,1,NA,NA,NA,0,NA,1,4,1,0,1,0,1,Original,20,0,0,0,treated
m2,league3_wave1,1,NA,NA,NA,0,NA,1,3,3,1,1,0,1,Original,20,1,0,0,treated
m3,league3_wave1,1,NA,NA,NA,1,NA,1,6,1,1,1,0,0,Original,26,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,0,NA,1,2,1,1,1,1,1,Original,23,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,0,NA,0,4,5,1,1,0,0,Original,24,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,0,NA,1,6,3,1,1,0,0,Original,28,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,0,NA,1,4,3,1,1,0,1,Original,25,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,0,NA,1,4,3,2,1,0,1,Original,23,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,1,NA,1,4,1,1,1,1,0,Original,25,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,0,NA,1,3,1,1,2,0,1,Original,28,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,0,NA,1,6,2,1,1,0,1,Original,29,1,0,1,treated
m3,league3_wave1,1,NA,NA,NA,1,NA,1,6,1,1,1,0,0,Original,22,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,0,NA,1,5,1,0,2,1,0,Original,30,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,0,NA,1,4,3,0,2,1,0,Original,36,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,1,NA,1,4,1,2,2,1,0,Original,31,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,0,NA,1,3,3,0,2,1,0,Original,27,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,0,NA,1,6,1,3,2,1,0,Original,27,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,0,NA,1,3,1,4,1,0,1,Original,22,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,1,NA,0,2,5,1,2,0,0,Original,21,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,0,NA,1,3,5,0,2,0,1,Original,25,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,1,NA,1,4,1,0,2,1,0,Original,31,1,0,1,treated
m4,league3_wave1,1,NA,NA,NA,0,NA,1,6,1,0,2,1,1,Original,29,1,0,1,treated
m5,league3_wave1,1,NA,NA,NA,0,NA,0,3,1,3,1,0,0,Original,22,1,0,1,treated
m5,league3_wave1,1,NA,NA,NA,1,NA,1,4,1,2,1,0,0,Original,21,1,0,1,treated
m5,league3_wave1,1,1,1,NA,0,NA,0,3,3,1,1,0,1,Original,21,1,0,1,treated
m5,league3_wave1,1,1,1,NA,0,NA,0,4,1,4,2,0,1,Original,22,1,0,1,treated
m5,league3_wave1,1,NA,NA,NA,0,NA,1,3,3,3,1,0,1,Original,21,1,0,1,treated
m5,league3_wave1,1,NA,NA,NA,0,NA,1,4,3,1,1,0,1,Original,22,1,0,1,treated
m5,league3_wave1,1,1,1,NA,1,NA,1,4,1,1,1,0,0,Original,19,1,0,1,treated
m5,league3_wave1,1,NA,NA,NA,0,NA,0,3,5,2,2,0,0,Original,25,1,0,1,treated
m5,league3_wave1,1,NA,NA,NA,0,NA,1,3,4,0,1,0,0,Original,21,1,0,1,treated
m5,league3_wave1,1,NA,NA,NA,0,NA,0,3,3,1,0,0,1,Original,21,1,0,1,treated
m6,league3_wave1,1,NA,NA,NA,0,NA,0,3,1,4,2,0,1,Original,22,1,0,0,treated
m6,league3_wave1,1,NA,NA,NA,1,NA,1,3,2,0,1,0,0,Original,21,0,0,0,treated
m6,league3_wave1,1,NA,NA,NA,1,NA,0,3,1,1,1,0,0,Original,19,0,0,0,treated
m6,league3_wave1,1,NA,NA,NA,1,NA,1,3,4,0,1,0,0,Original,19,0,0,0,treated
m6,league3_wave1,1,NA,NA,NA,1,NA,1,6,5,1,1,0,0,Original,23,0,0,0,treated
m6,league3_wave1,1,NA,NA,NA,1,NA,0,4,3,0,1,0,0,Original,18,0,0,0,treated
m6,league3_wave1,1,NA,NA,NA,0,NA,0,4,1,2,1,0,0,Original,20,0,0,0,treated
m6,league3_wave1,1,NA,NA,NA,1,NA,1,6,3,3,1,0,0,Original,24,0,0,0,treated
m6,league3_wave1,1,NA,NA,NA,0,NA,1,4,3,0,1,0,0,Original,22,0,0,0,treated
m6,league3_wave1,1,NA,NA,NA,0,NA,1,6,1,4,2,0,0,Original,34,0,0,0,treated
m7,league3_wave1,1,NA,NA,NA,1,NA,1,3,2,0,2,0,0,Original,23,0,0,1,treated
m7,league3_wave1,1,NA,NA,NA,1,NA,1,4,1,1,1,0,0,Original,18,1,0,1,treated
m7,league3_wave1,1,NA,NA,NA,1,NA,1,4,1,0,1,0,0,Original,19,1,0,1,treated
m7,league3_wave1,1,NA,NA,NA,1,NA,0,2,1,1,1,0,0,Original,18,1,0,1,treated
m7,league3_wave1,1,NA,NA,NA,0,NA,1,3,1,1,1,0,1,Original,16,1,0,1,treated
m7,league3_wave1,1,NA,NA,NA,1,NA,0,2,5,1,1,0,0,Original,16,1,0,1,treated
m7,league3_wave1,1,NA,NA,NA,0,NA,0,3,4,1,1,0,1,Original,18,1,0,1,treated
m7,league3_wave1,1,NA,NA,NA,1,NA,0,3,1,0,1,0,0,Original,18,1,0,1,treated
m7,league3_wave1,1,NA,NA,NA,0,NA,0,3,3,1,1,0,1,Original,19,0,0,1,treated
m7,league3_wave1,1,NA,NA,NA,1,NA,0,4,3,0,1,0,0,Original,19,1,0,1,treated
team_19,league2_wave2,1,0,0,3,1,0,0,5,5,0,0,1,1,Original,30,0,0,1,treated
team_1,league1_wave2,1,0,0,3,0,1,1,6,6,0,2,1,0,Coach,53,0,0,1,treated
team_2,league1_wave2,0,1,0,1,0,1,1,2,5,0,1,0,0,Coach,24,1,0,0,control
team_3,league2_wave2,0,0,0,2,0,0,0,2,5,1,1,0,0,Coach,22,0,1,1,control
