team,league,treated,guests_total,guests_women,empathy_sunni_t0,isis_abuse_violent,friends_t0,friends_t0_new,edu,church,income,status1,marital,isis_abuse,player_type,birth.year,attend,train_t0,train_t1
team_4,league1_wave2,0,0,0,3,0,0,0,2,5,0,1,0,0,Original,18,0,0,0
team_3,league2_wave2,0,0,0,1,1,1,1,2,4,0,1,0,1,Original,21,0,1,1
team_5,league1_wave2,1,1,1,2,0,0,0,4,5,0,0,0,0,Original,33,1,0,1
team_6,league2_wave2,1,0,0,3,0,0,0,6,2,2,0,0,0,Original,25,0,0,1
team_7,league2_wave2,0,0,0,2,0,0,0,4,5,1,0,0,0,Original,25,0,0,0
team_8,league1_wave2,1,0,0,1,1,0,0,2,1,0,0,0,1,Original,32,0,0,1
team_9,league1_wave2,0,0,0,4,1,1,1,2,6,0,1,0,1,Original,24,0,0,0
team_11,league2_wave2,1,1,0,2,0,0,0,2,5,0,1,0,0,Original,22,1,0,0
team_12,league1_wave2,0,1,1,2,0,0,0,2,4,2,1,0,1,Original,19,1,0,0
team_13,league2_wave2,0,0,0,1,1,0,0,3,3,1,0,0,1,Original,18,0,1,1
team_14,league1_wave2,1,0,0,3,0,0,0,2,3,0,1,0,0,Original,19,0,0,0
team_15,league2_wave2,1,0,0,3,0,0,0,2,2,0,1,0,1,Original,22,0,0,0
team_16,league2_wave2,0,1,1,2,0,0,0,4,3,1,1,0,0,Original,19,1,0,0
team_18,league2_wave2,0,0,0,4,1,2,1,2,5,0,0,0,1,Coach,29,0,0,0
team_20,league1_wave2,1,0,0,1,0,0,0,6,2,1,0,1,1,Original,30,0,0,1
team_21,league1_wave2,1,1,1,2,0,1,1,3,4,1,2,1,1,Original,29,1,0,1
team_22,league1_wave2,0,0,0,3,0,0,0,4,5,0,1,0,0,Original,20,0,0,0
team_23,league1_wave2,0,0,0,4,0,0,0,6,3,0,1,0,0,Original,23,0,0,0
team_24,league1_wave2,1,0,0,2,1,0,0,6,6,1,2,1,1,Original,43,0,0,0
team_25,league2_wave2,0,0,0,3,0,0,0,4,6,0,0,0,0,Original,23,0,0,0
team_26,league2_wave2,1,1,0,2,0,0,0,4,2,2,1,0,0,Original,17,1,0,0
team_27,league2_wave2,1,0,0,1,0,0,0,3,2,0,0,0,0,Original,17,0,0,1
team_28,league2_wave2,0,0,0,2,0,0,0,4,2,3,1,0,0,Original,16,0,0,0
team_28,league2_wave2,0,0,0,3,0,0,0,4,5,3,2,0,1,Extra,16,0,0,0
team_18,league2_wave2,0,0,0,2,0,0,0,4,5,1,1,0,0,Extra,18,0,0,0
team_7,league2_wave2,0,0,0,2,0,0,0,2,6,0,1,0,0,Extra,19,0,0,0
team_10,league2_wave2,1,0,0,2,0,1,1,2,4,1,1,0,0,Original,21,0,0,0
team_25,league2_wave2,0,0,0,1,0,0,0,2,3,0,0,0,0,Extra,25,0,0,0
team_7,league2_wave2,0,0,0,2,1,0,0,4,5,0,1,0,1,Extra,16,0,0,0
team_3,league2_wave2,0,0,0,3,0,1,1,4,2,0,0,0,0,Extra,25,0,1,1
team_16,league2_wave2,0,1,1,2,0,1,1,6,3,0,1,0,0,Extra,28,1,0,0
team_12,league1_wave2,0,0,0,1,0,0,0,4,5,0,2,0,0,Extra,19,0,0,0
team_1,league1_wave2,1,0,0,2,0,1,1,2,3,1,1,0,0,Original,17,0,0,1
team_4,league1_wave2,0,1,1,2,0,0,0,4,2,0,0,0,0,Original,22,1,0,0
team_3,league2_wave2,0,0,0,3,0,0,0,4,5,1,0,0,0,Original,20,0,1,1
team_5,league1_wave2,1,0,0,2,1,1,1,6,2,0,0,1,1,Original,30,0,0,1
team_6,league2_wave2,1,0,0,3,1,0,0,6,5,2,0,0,1,Original,23,0,0,1
team_7,league2_wave2,0,0,0,1,0,1,1,4,4,0,1,1,0,Original,31,0,0,0
team_8,league1_wave2,1,0,0,3,0,0,0,6,5,0,0,1,0,Original,32,0,0,1
team_9,league1_wave2,0,0,0,2,1,0,0,4,5,0,0,0,1,Original,23,0,0,0
team_10,league2_wave2,1,1,1,1,1,0,0,6,5,4,0,0,1,Original,25,1,0,0
team_11,league2_wave2,1,1,1,2,0,0,0,4,4,0,1,0,1,Original,18,1,0,0
team_12,league1_wave2,0,0,0,2,0,0,0,6,5,0,1,0,0,Original,19,0,0,0
team_13,league2_wave2,0,0,0,4,0,1,1,4,3,0,0,0,0,Original,21,0,1,1
team_14,league1_wave2,1,0,0,3,1,1,1,3,5,0,0,0,1,Original,25,0,0,0
team_15,league2_wave2,1,0,0,2,0,0,0,6,2,0,1,0,0,Original,22,0,0,0
team_16,league2_wave2,0,0,0,1,0,0,0,3,5,0,2,0,0,Original,21,0,0,0
team_17,league1_wave2,0,0,0,4,1,0,0,4,6,4,1,1,1,Original,26,0,0,0
team_18,league2_wave2,0,1,0,3,0,0,0,4,2,0,1,0,0,Original,17,1,0,0
team_20,league1_wave2,1,0,0,4,0,0,0,2,5,1,1,0,0,Original,19,0,0,1
team_21,league1_wave2,1,0,0,3,0,0,0,2,2,0,1,0,0,Original,22,0,0,1
team_22,league1_wave2,0,0,0,1,0,1,1,3,5,0,0,0,1,Original,20,0,0,0
team_23,league1_wave2,0,0,0,2,0,0,0,6,2,0,0,0,0,Original,25,0,0,0
team_24,league1_wave2,1,0,0,1,1,0,0,3,5,1,0,0,1,Original,22,0,0,0
team_25,league2_wave2,0,1,0,4,0,1,1,6,5,1,0,0,0,Original,20,1,0,0
team_25,league2_wave2,0,0,0,3,0,0,0,2,6,2,1,0,0,Extra,18,0,0,0
team_26,league2_wave2,1,0,0,2,0,0,0,4,4,0,1,0,0,Original,20,0,0,0
team_28,league2_wave2,0,0,0,3,0,0,0,5,5,1,0,0,0,Original,19,0,0,0
team_9,league1_wave2,0,0,0,1,0,1,1,4,1,1,1,0,0,Extra,19,0,0,0
team_22,league1_wave2,0,0,0,2,0,0,0,4,5,2,1,0,0,Extra,18,0,0,0
team_2,league1_wave2,0,0,0,2,0,0,0,6,5,1,2,0,0,Extra,29,0,0,0
team_3,league2_wave2,0,1,1,3,0,1,1,4,5,0,0,1,0,Extra,27,1,1,1
team_23,league1_wave2,0,1,1,2,0,2,1,4,2,0,0,0,0,Extra,26,1,0,0
team_18,league2_wave2,0,0,0,1,0,0,0,3,6,1,0,0,0,Extra,19,0,0,0
team_2,league1_wave2,0,0,0,3,1,1,1,3,5,0,0,0,1,Extra,17,0,0,0
team_1,league1_wave2,1,1,0,3,0,0,0,2,5,0,1,0,0,Original,20,1,0,1
team_2,league1_wave2,0,1,0,2,0,0,0,4,4,0,0,1,0,Original,25,1,0,0
team_4,league1_wave2,0,0,0,1,0,0,0,4,5,1,1,0,0,Original,16,0,0,0
team_3,league2_wave2,0,0,0,2,0,0,0,2,4,1,1,0,0,Original,21,0,1,1
team_5,league1_wave2,1,0,0,2,0,0,0,6,2,0,1,1,0,Original,29,0,0,1
team_6,league2_wave2,1,0,0,3,0,0,0,6,5,2,0,0,0,Original,23,0,0,1
team_7,league2_wave2,0,0,0,2,1,0,0,3,3,0,2,0,1,Original,22,0,0,0
team_9,league1_wave2,0,0,0,3,1,1,1,4,5,1,2,1,1,Original,30,0,0,0
team_10,league2_wave2,1,1,0,2,0,0,0,6,2,1,2,1,0,Original,30,1,0,0
team_11,league2_wave2,1,0,0,2,1,0,0,6,2,1,0,0,1,Original,28,0,0,0
team_12,league1_wave2,0,0,0,2,0,0,0,4,2,1,2,0,0,Original,21,0,0,0
team_13,league2_wave2,0,0,0,2,0,1,1,4,2,0,1,0,0,Original,18,0,1,1
team_14,league1_wave2,1,0,0,2,0,0,0,2,5,0,1,0,0,Original,17,0,0,0
team_15,league2_wave2,1,0,0,1,0,1,1,2,5,1,1,0,0,Original,23,0,0,0
team_16,league2_wave2,0,0,0,2,1,0,0,2,5,1,1,0,1,Original,26,0,0,0
team_17,league1_wave2,0,0,0,4,0,1,1,3,6,0,0,1,0,Original,26,0,0,0
team_17,league1_wave2,0,0,0,1,0,1,1,4,4,1,1,0,1,Extra,19,0,0,0
team_18,league2_wave2,0,0,0,3,0,0,0,3,3,0,0,0,1,Original,21,0,0,0
team_19,league2_wave2,1,1,0,1,0,0,0,2,5,1,1,0,0,Original,19,1,0,1
team_21,league1_wave2,1,0,0,1,0,0,0,2,1,2,2,0,0,Original,23,0,0,1
team_22,league1_wave2,0,0,0,3,0,1,1,2,5,0,1,0,0,Original,19,0,0,0
team_24,league1_wave2,1,0,0,3,0,1,1,2,5,4,2,0,0,Original,25,0,0,0
team_25,league2_wave2,0,1,1,3,0,0,0,6,5,1,0,0,0,Original,24,1,0,0
team_26,league2_wave2,1,1,1,3,0,0,0,4,4,0,1,0,0,Original,17,1,0,0
team_27,league2_wave2,1,1,1,3,1,0,0,4,2,1,1,0,1,Original,17,1,0,1
team_18,league2_wave2,0,0,0,1,0,1,1,4,5,0,1,0,1,Extra,15,0,0,0
team_28,league2_wave2,0,0,0,4,0,0,0,4,4,0,1,0,0,Extra,17,0,0,0
team_22,league1_wave2,0,0,0,4,0,0,0,4,5,2,1,0,0,Extra,17,0,0,0
team_8,league1_wave2,1,0,0,2,0,1,1,2,2,0,1,1,0,Original,36,0,0,1
team_12,league1_wave2,0,1,0,2,1,0,0,2,5,2,1,0,1,Extra,18,1,0,0
team_1,league1_wave2,1,1,1,3,0,0,0,4,5,1,1,0,0,Original,16,1,0,1
team_2,league1_wave2,0,1,0,1,0,0,0,3,5,0,0,0,0,Original,21,1,0,0
team_4,league1_wave2,0,0,0,3,0,0,0,6,4,0,0,0,1,Original,20,0,0,0
team_3,league2_wave2,0,0,0,3,0,2,1,6,1,0,0,0,0,Original,21,0,1,1
team_5,league1_wave2,1,0,0,2,0,1,1,4,6,0,1,0,0,Original,19,0,0,1
team_6,league2_wave2,1,0,0,3,1,0,0,6,5,1,0,0,1,Original,24,0,0,1
team_7,league2_wave2,0,0,0,2,0,2,1,4,6,0,0,1,0,Original,41,0,0,0
team_8,league1_wave2,1,0,0,2,0,0,0,6,2,0,0,1,0,Original,31,0,0,1
team_9,league1_wave2,0,1,1,2,0,0,0,6,5,0,0,1,0,Original,29,1,0,0
team_10,league2_wave2,1,0,0,2,1,0,0,2,6,2,1,0,1,Original,18,0,0,0
team_11,league2_wave2,1,0,0,3,1,1,1,2,2,2,1,0,1,Original,21,0,0,0
team_12,league1_wave2,0,0,0,3,1,1,1,2,4,2,1,0,1,Original,18,0,0,0
team_13,league2_wave2,0,0,0,1,0,0,0,4,5,0,1,0,0,Original,17,0,1,1
team_13,league2_wave2,0,0,0,2,0,1,1,4,5,1,1,0,1,Extra,15,0,1,1
team_14,league1_wave2,1,0,0,2,0,0,0,4,3,0,0,0,0,Original,19,0,0,0
team_15,league2_wave2,1,0,0,3,0,1,1,2,2,0,1,0,0,Original,23,0,0,0
team_16,league2_wave2,0,0,0,1,0,0,0,4,3,4,0,0,0,Original,25,0,0,0
team_17,league1_wave2,0,0,0,2,0,0,0,3,5,0,0,0,0,Original,21,0,0,0
team_18,league2_wave2,0,1,0,3,0,0,0,3,5,0,1,0,0,Original,21,1,0,0
team_19,league2_wave2,1,1,0,3,0,0,0,4,5,1,0,0,0,Original,21,1,0,1
team_21,league1_wave2,1,0,0,3,0,0,0,2,2,0,0,1,0,Original,32,0,0,1
team_22,league1_wave2,0,0,0,3,0,1,1,4,5,2,2,0,0,Original,18,0,0,0
team_24,league1_wave2,1,0,0,2,1,0,0,4,5,1,1,0,1,Original,23,0,0,0
team_25,league2_wave2,0,1,0,2,0,2,1,2,6,0,1,0,0,Original,24,1,0,0
team_26,league2_wave2,1,0,0,2,0,1,1,4,2,3,1,0,0,Original,17,0,0,0
team_27,league2_wave2,1,0,0,4,0,0,0,2,1,0,1,0,0,Original,19,0,0,1
team_28,league2_wave2,0,1,1,3,0,1,1,6,2,1,1,0,0,Original,21,1,0,0
team_9,league1_wave2,0,0,0,1,1,0,0,6,5,0,1,1,1,Extra,25,0,0,0
team_9,league1_wave2,0,0,0,2,0,0,0,4,5,0,0,0,0,Extra,19,0,0,0
team_23,league1_wave2,0,0,0,3,1,0,0,3,6,0,1,0,1,Extra,19,0,0,0
team_16,league2_wave2,0,0,0,2,0,0,0,4,2,0,0,0,0,Extra,18,0,0,0
team_4,league1_wave2,0,0,0,1,0,1,1,4,5,0,1,0,0,Extra,19,0,0,0
team_16,league2_wave2,0,0,0,1,0,1,1,4,5,1,1,0,0,Extra,17,0,0,0
team_1,league1_wave2,1,0,0,2,0,0,0,2,5,0,1,0,0,Original,18,0,0,1
team_2,league1_wave2,0,1,0,3,0,0,0,6,4,1,0,0,0,Original,23,1,0,0
team_5,league1_wave2,1,0,0,3,0,0,0,4,5,0,1,0,0,Original,20,0,0,1
team_6,league2_wave2,1,0,0,3,0,0,0,2,5,1,1,0,1,Original,27,0,0,1
team_7,league2_wave2,0,0,0,2,0,0,0,4,5,0,0,1,0,Original,30,0,0,0
team_8,league1_wave2,1,0,0,1,0,0,0,6,2,0,2,1,1,Original,32,0,0,1
team_9,league1_wave2,0,1,1,2,1,1,1,6,6,0,1,0,1,Original,25,1,0,0
team_10,league2_wave2,1,0,0,2,0,0,0,4,5,0,0,0,0,Original,20,0,0,0
team_11,league2_wave2,1,0,0,1,0,0,0,2,4,3,1,0,0,Original,18,0,0,0
team_12,league1_wave2,0,0,0,3,1,0,0,4,4,0,1,0,1,Original,19,0,0,0
team_13,league2_wave2,0,0,0,2,0,1,1,4,5,1,0,0,0,Original,29,0,1,1
team_14,league1_wave2,1,0,0,3,1,0,0,4,2,0,2,0,1,Original,22,0,0,0
team_17,league1_wave2,0,0,0,2,0,0,0,2,5,1,1,0,0,Original,23,0,0,0
team_18,league2_wave2,0,1,1,2,0,2,1,3,5,0,0,1,0,Original,29,1,0,0
team_19,league2_wave2,1,1,1,2,0,0,0,2,5,0,1,0,0,Original,23,1,0,1
team_21,league1_wave2,1,0,0,3,0,1,1,3,5,0,1,0,0,Original,25,0,0,1
team_22,league1_wave2,0,0,0,2,0,0,0,3,6,0,0,0,0,Original,18,0,0,0
team_23,league1_wave2,0,0,0,2,1,1,1,2,2,0,0,1,1,Original,26,0,0,0
team_24,league1_wave2,1,0,0,2,1,0,0,2,1,0,1,0,1,Original,21,0,0,0
team_25,league2_wave2,0,1,1,1,0,0,0,2,1,1,1,0,0,Original,23,1,0,0
team_26,league2_wave2,1,0,0,3,0,1,1,2,6,0,1,0,0,Original,20,0,0,0
team_27,league2_wave2,1,0,0,3,0,0,0,3,5,0,0,1,0,Original,32,0,0,1
team_28,league2_wave2,0,1,1,3,0,0,0,4,5,0,1,0,0,Original,16,1,0,0
team_1,league1_wave2,1,0,0,3,0,0,0,2,2,1,1,0,0,Original,19,0,0,1
team_2,league1_wave2,0,1,0,2,0,1,1,3,5,0,0,0,0,Original,27,1,0,0
team_4,league1_wave2,0,0,0,1,1,0,0,3,2,2,2,0,1,Original,30,0,0,0
team_5,league1_wave2,1,0,0,2,0,1,1,3,5,0,0,0,0,Original,20,0,0,1
team_7,league2_wave2,0,0,0,2,1,0,0,4,5,0,0,0,1,Original,20,0,0,0
team_8,league1_wave2,1,0,0,3,0,1,1,6,5,1,2,0,0,Original,30,0,0,1
team_9,league1_wave2,0,0,0,2,1,0,0,2,4,1,1,0,1,Original,27,0,0,0
team_10,league2_wave2,1,0,0,2,0,0,0,4,4,1,1,0,0,Original,21,0,0,0
team_11,league2_wave2,1,1,0,3,0,0,0,6,1,1,1,0,0,Original,21,1,0,0
team_12,league1_wave2,0,1,1,1,1,0,0,2,4,1,1,0,1,Original,19,1,0,0
team_13,league2_wave2,0,0,0,1,1,1,1,6,5,1,2,0,1,Original,25,0,1,1
team_14,league1_wave2,1,0,0,3,0,1,1,4,5,0,1,0,0,Original,18,0,0,0
team_15,league2_wave2,1,0,0,1,0,0,0,4,6,1,1,0,0,Original,25,0,0,0
team_16,league2_wave2,0,0,0,4,1,1,1,3,6,0,2,0,1,Original,18,0,0,0
team_17,league1_wave2,0,0,0,2,0,0,0,3,5,0,0,1,0,Original,32,0,0,0
team_17,league1_wave2,0,0,0,3,0,1,1,2,5,0,1,0,0,Extra,19,0,0,0
team_18,league2_wave2,0,1,0,2,0,0,0,3,5,0,0,1,0,Original,26,1,0,0
team_19,league2_wave2,1,1,1,2,0,1,1,2,2,0,2,1,0,Original,30,1,0,1
team_20,league1_wave2,1,0,0,3,1,0,0,4,4,0,2,0,1,Original,20,0,0,1
team_21,league1_wave2,1,0,0,1,1,2,1,4,6,0,0,0,1,Original,20,0,0,1
team_22,league1_wave2,0,0,0,2,0,0,0,4,2,4,1,0,0,Original,20,0,0,0
team_23,league1_wave2,0,0,0,4,0,0,0,4,1,0,0,0,0,Original,22,0,0,0
team_24,league1_wave2,1,0,0,1,0,0,0,4,1,0,0,1,0,Original,29,0,0,0
team_26,league2_wave2,1,0,0,2,0,0,0,4,2,0,1,0,0,Original,17,0,0,0
team_27,league2_wave2,1,1,1,1,0,0,0,4,5,1,1,0,0,Original,18,1,0,1
team_28,league2_wave2,0,1,1,1,0,0,0,4,5,0,1,0,0,Original,19,1,0,0
team_25,league2_wave2,0,0,0,4,1,0,0,3,6,0,0,0,1,Original,19,0,0,0
team_1,league1_wave2,1,0,0,4,0,0,0,4,1,1,1,0,0,Original,19,0,0,1
team_4,league1_wave2,0,0,0,1,0,1,1,6,2,2,1,1,0,Original,27,0,0,0
team_3,league2_wave2,0,0,0,3,0,1,1,2,1,4,1,0,0,Original,20,0,1,1
team_5,league1_wave2,1,1,1,1,0,1,1,6,2,0,0,1,0,Original,34,1,0,1
team_6,league2_wave2,1,0,0,3,0,0,0,6,5,1,0,0,0,Original,23,0,0,1
team_7,league2_wave2,0,0,0,2,0,1,1,3,5,0,0,1,0,Original,34,0,0,0
team_8,league1_wave2,1,0,0,1,0,0,0,6,2,0,0,1,0,Original,29,0,0,1
team_9,league1_wave2,0,0,0,2,1,0,0,2,2,1,1,0,1,Original,24,0,0,0
team_9,league1_wave2,0,0,0,3,0,0,0,4,5,1,1,0,0,Extra,16,0,0,0
team_10,league2_wave2,1,0,0,4,0,0,0,6,5,2,0,0,0,Original,25,0,0,0
team_11,league2_wave2,1,0,0,1,0,0,0,2,6,1,1,0,0,Original,21,0,0,0
team_12,league1_wave2,0,0,0,3,0,0,0,4,6,1,1,1,0,Original,28,0,0,0
team_13,league2_wave2,0,0,0,2,1,0,0,6,2,1,1,0,1,Original,22,0,1,1
team_14,league1_wave2,1,0,0,3,1,1,1,6,6,1,1,0,1,Original,24,0,0,0
team_15,league2_wave2,1,1,1,1,0,0,0,4,5,0,1,0,0,Original,21,1,0,0
team_16,league2_wave2,0,0,0,3,0,0,0,4,2,0,1,0,0,Original,22,0,0,0
team_17,league1_wave2,0,0,0,2,0,1,1,2,5,1,1,0,0,Original,21,0,0,0
team_18,league2_wave2,0,0,0,4,0,0,0,3,5,0,1,0,0,Original,23,0,0,0
team_19,league2_wave2,1,1,1,2,1,0,0,4,6,0,0,1,1,Original,27,1,0,1
team_20,league1_wave2,1,1,0,1,0,1,1,3,1,1,1,0,0,Original,21,1,0,1
team_21,league1_wave2,1,0,0,3,0,0,0,3,2,0,2,0,0,Original,24,0,0,1
team_22,league1_wave2,0,0,0,3,0,0,0,4,5,1,1,0,0,Original,16,0,0,0
team_23,league1_wave2,0,0,0,2,0,0,0,6,5,1,1,0,0,Original,19,0,0,0
team_24,league1_wave2,1,0,0,2,1,0,0,2,5,0,1,0,1,Original,21,0,0,0
team_25,league2_wave2,0,1,1,3,0,0,0,3,6,0,1,0,0,Original,27,1,0,0
team_26,league2_wave2,1,0,0,1,0,1,1,2,5,1,1,0,0,Original,19,0,0,0
team_27,league2_wave2,1,1,0,3,0,0,0,4,1,0,1,0,0,Original,18,1,0,1
team_28,league2_wave2,0,1,1,1,1,0,0,6,6,1,0,0,1,Original,30,1,0,0
team_1,league1_wave2,1,0,0,4,1,2,1,4,5,0,0,0,1,Original,19,0,0,1
team_2,league1_wave2,0,1,0,1,0,0,0,6,5,2,0,0,0,Original,27,1,0,0
team_4,league1_wave2,0,1,1,2,0,1,1,3,6,0,2,0,0,Original,27,1,0,0
team_3,league2_wave2,0,0,0,1,1,0,0,6,5,2,2,0,1,Original,22,0,1,1
team_5,league1_wave2,1,1,1,2,0,1,1,4,1,1,2,0,0,Original,21,1,0,1
team_6,league2_wave2,1,0,0,4,0,1,1,6,2,3,1,0,0,Original,24,0,0,1
team_7,league2_wave2,0,0,0,4,0,1,1,3,4,0,2,1,0,Original,28,0,0,0
team_10,league2_wave2,1,1,0,1,1,2,1,6,5,3,0,0,1,Original,27,1,0,0
team_11,league2_wave2,1,0,0,1,0,0,0,4,6,4,2,1,0,Original,22,0,0,0
team_12,league1_wave2,0,0,0,1,0,0,0,4,2,1,1,0,0,Original,18,0,0,0
team_14,league1_wave2,1,0,0,4,0,0,0,3,5,1,0,0,0,Original,23,0,0,0
team_15,league2_wave2,1,1,1,2,1,2,1,4,5,0,0,1,1,Original,27,1,0,0
team_16,league2_wave2,0,0,0,3,0,0,0,2,5,0,0,0,0,Original,27,0,0,0
team_17,league1_wave2,0,0,0,1,0,1,1,4,2,0,1,0,0,Original,18,0,0,0
team_18,league2_wave2,0,0,0,4,1,0,0,4,6,0,0,0,1,Original,23,0,0,0
team_20,league1_wave2,1,0,0,4,0,0,0,6,4,0,2,1,0,Original,28,0,0,1
team_21,league1_wave2,1,0,0,2,0,1,1,4,3,1,1,0,0,Original,20,0,0,1
team_22,league1_wave2,0,0,0,2,0,0,0,4,1,1,0,0,0,Original,18,0,0,0
team_23,league1_wave2,0,0,0,3,0,1,1,6,2,1,1,0,0,Original,25,0,0,0
team_23,league1_wave2,0,0,0,4,0,0,0,4,2,0,1,0,0,Extra,16,0,0,0
team_24,league1_wave2,1,0,0,2,1,0,0,4,5,1,1,0,1,Original,23,0,0,0
team_25,league2_wave2,0,1,1,2,0,0,0,4,5,0,0,1,0,Original,25,1,0,0
team_26,league2_wave2,1,0,0,3,0,1,1,4,1,0,1,0,0,Original,17,0,0,0
team_28,league2_wave2,0,0,0,3,1,0,0,6,3,2,0,0,1,Original,27,0,0,0
